,count,mean,std,min,25%,50%,75%,max,missing_pct,skew,kurtosis
TypeTruckVanLarge,147621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TypeMissing,147621.0,3.6531861997954223,3.188312696878235,0.0,1.0,2.0,6.0,20.0,0.0,1.042660577275074,0.2122974277915315
TotalWeight,147621.0,15121.094654554568,12918.395666117874,1808.0,4288.0,9444.0,27072.0,67151.0,0.0,0.9591570095980811,-0.03540118375876178
WeightKnown,147621.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
WeighedVehicleCount,147621.0,3.6273091226857965,3.170083391468754,1.0,1.0,2.0,6.0,19.0,0.0,1.0619977072920015,0.25846858976860343
VehicleWeightSum,147621.0,15124.405450444043,12920.149156545298,1808.0,4288.0,9449.0,27078.0,67151.0,0.0,0.9585384857786646,-0.037179397281675186
VehicleWeightKnown,147621.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
VehicleWeightKnownCount,147621.0,3.6467101564140605,3.184346318158575,1.0,1.0,2.0,6.0,20.0,0.0,1.052121807275998,0.22833696476328136
VehicleYearMean,147621.0,2021.145456731536,4.042099906581536,1984.0,2018.75,2022.0,2025.0,2027.0,0.0,-0.8168828589782209,0.45671705955317554
VehicleCount,147621.0,3.66672085949831,3.192091144000412,1.0,1.0,2.0,6.0,20.0,0.0,1.040738647655375,0.20210862650688632
VehicleSpecsKnown,147621.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
lead_time_days,147621.0,1.4408722336252973,3.895431680553087,-99.0,0.0,1.0,2.0,261.0,0.0,8.36261761356719,388.14762909170906
delivery_date_days,147621.0,0.6063161745280143,3.762139877218436,-84.0,-1.0,0.0,1.0,406.0,0.0,18.066068801620975,1358.6866452753038
TotalStops,147621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TotalCost_min_2w_lane_zip3,147621.0,435.3075242335615,562.3168057207145,0.01,118.0,200.0,425.0,6500.0,0.0,2.2857741204303683,4.944258481141032
TotalCost_max_2w_lane_zip3,147621.0,881.675366768343,737.797951299481,60.0,317.0,635.0,1200.0,11497.75,0.0,1.4452167987571602,2.5126603750798417
TotalCost_mean_2w_lane_zip3,147621.0,635.2282158286961,637.3765631694491,60.0,216.04107142857143,351.0,820.625,6500.0,0.0,1.764222610975038,2.6632189663285835
TotalCost_count_2w_lane_zip3,147621.0,8.274872816198238,6.700761131453764,2.0,4.0,6.0,10.0,41.0,0.0,2.0281273206969788,4.778129127572322
TotalCost_std_2w_lane_zip3,147621.0,177.23976053595223,185.64301876437858,0.0,45.565083824509685,126.00000000000009,236.5829311193488,4411.84258676765,0.0,2.3886701328625213,11.297740900041854
TotalCost_min_3m_lane_state,147621.0,150.02942771993446,167.7959695965767,1.0,70.0,90.0,160.0,2975.0,0.0,4.929846822292484,40.77249286606973
