,count,mean,std,min,25%,50%,75%,max,missing_pct,skew,kurtosis
HaversineMiles,305838.0,285.43771652979484,368.76836181295465,0.0,56.80702273389655,139.37255892333516,362.47277129040776,8952.622775261925,0.0,2.5288568072331885,9.411901689712256
LengthOfHaul,305838.0,1.5829295247810933,1.596974121670467,-1.0,0.0,1.0,3.0,4.0,0.0,0.4369576030221649,-1.3729395636956643
OriginZipZone,305681.0,4.476951462472316,2.7165947454526287,0.0,2.0,4.0,7.0,10.0,0.05133436656007429,-0.1663171074670282,-1.2417322954571697
DestinationZipZone,305651.0,4.519160742153633,2.83455607004471,0.0,2.0,4.0,7.0,10.0,0.06114348118938784,-0.1241900952980056,-1.3041774962775918
ChangeMatrix_InboundIndex,305838.0,-0.40652894669727113,0.7101312630300319,-1.0,-1.0,-1.0,0.0,1.0,0.0,0.7698151172744317,-0.6780701113420133
ChangeMatrix_OutboundIndex,305838.0,-0.7064982114714325,0.5664197875382819,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.79471198236415,2.165280603216917
Origin_RUCC_2023,305838.0,1.6525529855675227,1.1563176906692878,1.0,1.0,1.0,2.0,9.0,0.0,2.811609826764694,10.226272048457334
Destination_RUCC_2023,305838.0,1.5483164289591222,1.1717987198955984,1.0,1.0,1.0,2.0,9.0,0.0,3.3210029777163936,13.179467245022886
Origin_Heavy_Wage,305681.0,27.829020580278133,1.5978962157729797,24.67,26.64,27.15,28.7,32.52,0.05133436656007429,1.3087587117040045,1.6325458142013356
Origin_Heavy_LQ,305681.0,1.0383431767953166,0.25707597897852363,0.0900000035762786,0.8700000047683716,1.0700000524520874,1.1399999856948853,1.870000004768372,0.05133436656007429,0.07032068532276682,1.0452472743276826
Origin_Heavy_Employment,305681.0,91299.96862742532,73344.55930791746,830.0,37490.0,59910.0,105730.0,212700.0,0.05133436656007429,0.8609870099036102,-0.8891729558102623
Origin_Heavy_EmploymentPer1000,305681.0,13.95051710881945,3.4539031964176963,1.1720000505447388,11.72599983215332,14.395000457763672,15.361000061035156,25.054000854492188,0.05133436656007429,0.05622508909855269,1.0126928202876342
Origin_Light_Wage,305681.0,22.829839342320916,1.2164969515752617,20.34,22.28,22.38,23.96,25.44,0.05133436656007429,0.14658259312886135,-0.8589696390461254
Origin_Light_LQ,305681.0,0.9846915624320809,0.18245439508864372,0.1199999973177909,0.8199999928474426,0.9399999976158142,1.090000033378601,1.5,0.05133436656007429,0.7682039007226763,0.09893343138044264
Origin_Light_Employment,305681.0,39039.69487799372,26799.631004536775,570.0,18100.0,29110.0,71340.0,117250.0,0.05133436656007429,0.7856651146962798,-0.033886718147992934
Origin_Light_EmploymentPer1000,305681.0,6.349572441277986,1.1748286408733801,0.8050000071525574,5.315000057220459,6.045000076293945,7.046000003814697,9.68000030517578,0.05133436656007429,0.7903176968436507,0.15413729977518287
Destination_Heavy_Wage,305651.0,27.870524912400093,1.6134115159258298,24.67,26.64,27.4,28.7,32.52,0.06114348118938784,0.9705707179769124,0.8654840125214136
Destination_Heavy_LQ,305651.0,1.0213813832744791,0.24611407049372808,0.0900000035762786,0.8700000047683716,1.0199999809265137,1.1399999856948853,1.870000004768372,0.06114348118938784,0.0948976912677621,0.6147926827678534
Destination_Heavy_Employment,305651.0,88686.78725081874,70493.87489290914,830.0,38530.0,61410.0,105730.0,212700.0,0.06114348118938784,0.9747734155516459,-0.6311478049565933
Destination_Heavy_EmploymentPer1000,305651.0,13.72499988657202,3.3076352036581884,1.1720000505447388,11.72599983215332,13.644000053405762,15.361000061035156,25.054000854492188,0.06114348118938784,0.08068380519021989,0.5992406109569943
Destination_Light_Wage,305651.0,22.89196191080677,1.3024828435458486,20.34,22.28,22.46,24.23,29.28,0.06114348118938784,-0.043650822710097355,-0.9635366146782554
Destination_Light_LQ,305651.0,0.9875712563393827,0.17701118112424347,0.1199999973177909,0.8299999833106995,0.9900000095367432,1.090000033378601,1.5,0.06114348118938784,0.6937610150991547,-0.10803329876971013
Destination_Light_Employment,305651.0,39784.47804849321,27905.54320728156,570.0,18100.0,35290.0,71340.0,117250.0,0.06114348118938784,0.9810603848877028,0.42987348885854226
Destination_Light_EmploymentPer1000,305651.0,6.366299316209574,1.1393219766688758,0.8050000071525574,5.324999809265137,6.385000228881836,7.046000003814697,9.68000030517578,0.06114348118938784,0.7184491135818355,-0.05033727877332339
TotalCostOriginMean,305838.0,6.314144668503003,0.9553364467045353,4.140679245317741,5.509895430782303,6.215046249571569,7.089933191417849,8.65420691023802,0.0,0.18328491951221915,-1.0849414187294903
TotalCostDestinationMean,305838.0,6.307987618592266,0.8995416585656132,4.641557165497284,5.500694403810215,6.199537579426556,7.07853563516367,8.516913738749663,0.0,0.27092672175671834,-1.0863826872300295
AutoInventorySalesRatio,305813.0,1.3819176261310016,0.12797255497726792,0.47,1.284,1.412,1.454,1.611,0.008174262191094631,-0.568239250198426,0.0003866120417521657
AutoManufacturerInventoryValue,305813.0,8872.011778439766,221.3410082966899,6403.0,8786.0,8920.0,8975.0,9506.0,0.008174262191094631,-0.5221345399848872,-0.3300181802804527
AutoPersonalConsumptionExpenditures,305813.0,45.70943936654099,1.9470118531605138,43.294,43.57,46.976,47.568,60.595,0.008174262191094631,-0.02223764565320645,-1.5864769277630313
FreightTSIndex,305813.0,137.52473243452698,0.9088051850204732,132.9,136.7,137.2,138.3,139.3,0.008174262191094631,0.48210410972415163,-0.9409794317140894
FreightTSIndexChange,305813.0,-0.19032317134981183,0.8448518511024418,-2.5,-0.7,-0.2,0.4,2.4,0.008174262191094631,0.45117145808523124,-0.6525715870530235
TruckTonnageIndex,305813.0,114.20655531321428,1.3657483752124244,111.1,113.3,113.9,114.3,117.9,0.008174262191094631,1.0341173003273119,0.35043977216153577
AutoManufacturerValueOfShipments,305813.0,12507.89837253485,716.9197247022626,7240.0,12037.0,12227.0,13244.0,13724.0,0.008174262191094631,0.3171146759284062,-1.291855934439778
